smq	Ajdabiya	LY		83	30.75545	20.22625	134358
smp	Awjilah	LY		83	29.10806	21.28694	6610
smn	Warehouse 59A	LY	Warehouse 59A Airport		28.32239914	19.93000031	0
smm	Al Burayqah	LY		83	30.40624	19.57386	13780
smj	Marādah	LY		83	29.23333	19.21667	2229
smh	Wadi Buzanad Sw Airport	LY	Wadi Buzanad Sw Airport		28.96190071	17.58810043	0
smf	Mişrātah	LY		72	32.37535	15.09254	386120
sme	Sirte	LY		76	31.20892	16.58866	128123
smd	Nanur Airport	LY	Nanur Airport		31.7052002	14.91160011	0
smc	Tripoli	LY		77	32.87519	13.18746	1150989
smb	Şabrātah	LY		68	32.79335	12.48845	102038
6qy	Eirunepé	BR	1301407	04	-6.66028	-69.87361	17175
6qr	Sena Madureira	BR	1200500	01	-9.06341	-68.67245	20516
6qs	Cruzeiro do Sul	BR	1200203	01	-7.62759	-72.67756	79819
6qp	Rio Branco	BR	1200401	01	-9.97472	-67.81	257642
6qq	Manoel Urbano	BR	1200344	01	-8.83889	-69.25972	4065
6qw	Envira	BR	1301407	04	-7.3	-70.21667	9956
6qt	Tarauacá	BR	1200609	01	-8.16139	-70.76556	16526
6qk	Marechal Thaumaturgo	BR	1200351	01	-8.94111	-72.79167	1808
6qh	Sepahua	PE	2502	25	-11.14583	-73.04278	0
6qn	Iñapari	PE	1703	17	-10.95	-69.58333	0
6qm	Esperanza	PE	Puerto Esperanza Airport		-9.768130302	-70.70649719	0
6qb	Bagua Grande	PE	0107	01	-5.75611	-78.44111	20382
6qc	Moyobamba	PE	2201	22	-6.03416	-76.97168	44276
6qf	Shucushuyacu	PE	1602	16	-6.01667	-75.85	0
6qg	Tamanco	PE	1605	16	-5.85	-74.31667	0
6qd	Pucallpa	PE	2501	25	-8.37915	-74.55387	310750
sm9	Gharyan	LY		80	32.17222	13.02028	85219
sm8	Yafran	LY		80	32.06329	12.52859	67638
sm5	Waddān	LY		64	29.1614	16.13904	27590
sm2	Habit Awlad Muhammad Airport	LY	Habit Awlad Muhammad Airport		30.70190048	12.48400021	0
sm1	Al Hamada Con 66 East Airport	LY	Al Hamada Con 66 East Airport		29.53109932	12.94369984	0
yjz	Ostrov Bolshevik	RU	Ostrov Bolshevik Air Base		78.58499908	100.9950027	0
4rg	Aysén	CL	Río Exploradores Airport		-46.353611	-73.327778	0
